name,version,direct,dependencyType,scope,source,licenseMetadata,licenseFileDetected,licenseFromFileGuess,metadataFileMatch,inProductionBundle,devToolOnly,obligations,risk,recommendedAction,repository,homepage,whereFound
"@tiptap/extension-link","2.27.2","direct","dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/ueberdosis/tiptap","https://tiptap.dev","prod"
"linkifyjs","4.3.2","transitive","transitive dependency","prod","npm","MIT","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/nfrasser/linkifyjs.git","https://linkify.js.org","prod"
"@cspell/dict-pl_pl","3.0.6","direct","devDependency","dev","npm","LGPL-3.0+","LICENSE","GNU General Public License","mismatch-possible","no","yes","zachowanie copyright; wymagana weryfikacja prawna","YELLOW","weryfikacja legal + notice","https://github.com/streetsidesoftware/cspell-dicts","https://github.com/streetsidesoftware/cspell-dicts/blob/main/dictionaries/pl_PL#readme","dev"
"@eslint/js","9.39.4","direct","devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/eslint/eslint.git","https://eslint.org","dev"
"fake-indexeddb","6.2.5","direct","devDependency","dev","npm","Apache-2.0","LICENSE","Apache License","mismatch-possible","no","yes","zachowanie copyright; NOTICE (je?li istnieje); patent notice","GREEN","zachowaj notice/licencje","git://github.com/dumbmatter/fakeIndexedDB.git","https://github.com/dumbmatter/fakeIndexedDB","dev"
"globals","15.15.0","direct","devDependency","dev","npm","MIT","license","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","sindresorhus/globals","","dev"
"prettier","3.8.1","direct","devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","prettier/prettier","https://prettier.io","dev"
"tailwindcss","4.2.2","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/tailwindlabs/tailwindcss.git","https://tailwindcss.com","dev"
"typescript","6.0.3","direct","devDependency","dev","npm","Apache-2.0","LICENSE.txt","Apache License","mismatch-possible","no","yes","zachowanie copyright; NOTICE (je?li istnieje); patent notice","GREEN","zachowaj notice/licencje","https://github.com/microsoft/TypeScript.git","https://www.typescriptlang.org/","dev"
"vite","6.4.2","direct","devDependency","dev","npm","MIT","LICENSE.md","MIT license","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vitejs/vite.git","https://vite.dev","dev"
"@testing-library/user-event","14.6.1","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/testing-library/user-event","https://github.com/testing-library/user-event#readme","dev"
"@testing-library/dom","10.4.1","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/testing-library/dom-testing-library","https://github.com/testing-library/dom-testing-library#readme","dev"
"@types/dompurify","3.2.0","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","","","dev"
"dompurify","3.3.3","direct","devDependency","dev","npm","(MPL-2.0 OR Apache-2.0)","LICENSE","Apache License","mismatch-possible","no","yes","zachowanie copyright; NOTICE (je?li istnieje); patent notice; wymagana weryfikacja prawna","GREEN","zachowaj notice/licencje","git://github.com/cure53/DOMPurify.git","https://github.com/cure53/DOMPurify","dev"
"@types/node","25.5.2","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node","dev"
"undici-types","7.18.2","transitive","transitive devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/nodejs/undici.git","https://undici.nodejs.org","dev"
"@types/react","19.2.14","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react","dev"
"csstype","3.2.3","transitive","transitive devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/frenic/csstype","","dev"
"@types/react-dom","19.2.3","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react-dom","dev"
"eslint-plugin-react-hooks","5.2.0","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/facebook/react.git","https://react.dev/","dev"
"eslint","9.39.4","direct","devDependency","dev","npm","MIT","LICENSE","","insufficient-data","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","eslint/eslint","https://eslint.org","dev"
"eslint-plugin-react-refresh","0.4.26","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","github:ArnaudBarre/eslint-plugin-react-refresh","","dev"
"prettier-plugin-tailwindcss","0.6.14","direct","devDependency","dev","npm","MIT","LICENSE","MIT License","likely-match","no","yes","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/tailwindlabs/prettier-plugin-tailwindcss","","dev"
"@playwright/test","1.59.1","direct","devDependency","dev","npm","Apache-2.0","LICENSE","Apache License","mismatch-possible","no","yes","zachowanie copyright; NOTICE (je?li istnieje); patent notice","GREEN","zachowaj notice/licencje","git+https://github.com/microsoft/playwright.git","https://playwright.dev","dev"
